Marital Status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Bracket,Purchased Bike
Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,41-50,No
Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,41-50,No
Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,51-60,No
Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,31-40,Yes
Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,41-50,No
Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,41-50,Yes
Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,51-60,Yes
Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,31-40,No
Married,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,31-40,Yes
Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,41-50,Yes
Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,31-40,Yes
Single,Male,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,51-60,Yes
Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,41-50,No
Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,31-40,Yes
Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,51-60,Yes
Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,31-40,Yes
Single,Female,80000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,31-40,No
Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,31-40,Yes
Married,Female,80000,5,High School,Management,No,3,5-10 Miles,Europe,56,51-60,No
Single,Male,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,31-40,No
Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,61-70,No
